epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.66542,1.59801,4.61942,1.37138,0.00124,0.02764,0.00217,0.00063,1.28455,4.51187,1.24552,2.001e-05,2.001e-05,2.001e-05
2,35.7995,1.5448,4.56838,1.36055,0.00258,0.06051,0.00737,0.00378,1.19034,4.44292,1.17707,4.66515e-05,4.66515e-05,4.66515e-05
3,38.7492,1.41701,4.37568,1.24069,0.00771,0.12277,0.04229,0.03221,1.12931,4.33592,1.08636,7.32489e-05,7.32489e-05,7.32489e-05
4,41.7708,1.367,4.13526,1.1669,0.01558,0.29025,0.07247,0.05117,1.14091,4.2482,1.06392,9.98024e-05,9.98024e-05,9.98024e-05
5,44.7535,1.37112,3.83271,1.1192,0.01489,0.38763,0.08577,0.05242,1.16991,4.13024,1.05054,0.000126312,0.000126312,0.000126312
6,47.728,1.33555,3.45864,1.09983,0.0139,0.39835,0.09597,0.05928,1.19296,3.95936,1.04437,0.000152777,0.000152777,0.000152777
7,50.6873,1.32399,3.07227,1.08445,0.4004,0.34978,0.16602,0.11069,1.16166,3.72898,1.03226,0.000179199,0.000179199,0.000179199
8,53.6939,1.36364,2.72179,1.08735,0.03732,0.62484,0.26467,0.17258,1.15716,3.46969,1.03614,0.000205576,0.000205576,0.000205576
9,56.6763,1.29396,2.38151,1.06923,0.04558,0.75319,0.3401,0.23574,1.1124,3.30787,1.04252,0.000231909,0.000231909,0.000231909
10,59.6908,1.30348,2.11372,1.08587,0.04863,0.80082,0.39291,0.2636,1.11328,3.32776,1.04877,0.000258199,0.000258199,0.000258199
11,62.6737,1.25917,1.90425,1.06161,0.05092,0.76344,0.42047,0.28516,1.10831,3.40233,1.06043,0.000284444,0.000284444,0.000284444
12,65.6702,1.23134,1.7136,1.0618,0.05359,0.81535,0.51489,0.35289,1.12991,3.3121,1.05624,0.000310645,0.000310645,0.000310645
13,68.6248,1.22132,1.52848,1.0476,0.0517,0.86735,0.60691,0.41888,1.07034,3.22129,1.04291,0.000336802,0.000336802,0.000336802
14,71.5844,1.15343,1.44795,1.02538,0.78141,0.41014,0.63865,0.43767,1.06258,3.16569,1.03598,0.000362916,0.000362916,0.000362916
15,74.5142,1.19646,1.39585,1.02761,0.8776,0.26841,0.67663,0.47247,1.06091,3.07916,1.03428,0.000388985,0.000388985,0.000388985
16,77.466,1.12368,1.31983,1.01655,0.9251,0.14037,0.70468,0.5046,1.04703,3.00117,1.02894,0.00041501,0.00041501,0.00041501
17,80.3718,1.11114,1.25112,1.01092,0.86678,0.13461,0.70673,0.51028,1.0296,2.9607,1.03019,0.000440991,0.000440991,0.000440991
18,83.3764,1.06889,1.1903,1.00624,0.83385,0.17094,0.68262,0.49302,1.04464,2.97555,1.04028,0.000466928,0.000466928,0.000466928
19,86.2396,1.04071,1.20348,0.99165,0.80964,0.30133,0.68518,0.49628,1.02248,2.95676,1.03258,0.000492821,0.000492821,0.000492821
20,89.1327,1.09102,1.20055,0.99299,0.89685,0.16637,0.71948,0.52178,1.02842,2.85536,1.0337,0.00051867,0.00051867,0.00051867
21,92.0591,1.04787,1.11875,1.00088,0.88804,0.26145,0.75265,0.54578,1.03333,2.61216,1.03409,0.000544475,0.000544475,0.000544475
22,95.0485,1.02978,1.10252,0.99502,0.87027,0.33264,0.75523,0.54266,1.0447,2.52251,1.03959,0.000570236,0.000570236,0.000570236
23,97.9603,1.06199,1.08792,0.99197,0.88063,0.41762,0.7812,0.5805,1.00105,2.3125,1.01584,0.000595953,0.000595953,0.000595953
24,100.952,0.9939,1.01403,0.9809,0.85182,0.49457,0.78902,0.57725,1.02658,2.18597,1.03319,0.000621626,0.000621626,0.000621626
25,103.875,0.99254,0.98676,0.97898,0.8398,0.60799,0.81608,0.60998,0.9996,1.95836,1.0252,0.000647255,0.000647255,0.000647255
26,106.875,1.00231,0.99519,0.98962,0.85097,0.67847,0.83212,0.62397,0.98822,1.82612,1.02171,0.000653243,0.000653243,0.000653243
27,109.881,0.97059,0.9356,0.97248,0.86363,0.71363,0.84652,0.6434,0.95691,1.72001,1.00775,0.000652693,0.000652693,0.000652693
28,112.875,0.95003,0.97345,0.98455,0.86755,0.70641,0.85739,0.63604,0.99042,1.76467,1.01993,0.000652143,0.000652143,0.000652143
29,115.759,0.94601,0.93068,0.97597,0.87256,0.73324,0.87128,0.65967,0.96082,1.69589,1.00376,0.000651592,0.000651592,0.000651592
30,118.721,0.95975,0.94607,0.97455,0.85757,0.77662,0.87331,0.66518,0.94876,1.47111,0.99645,0.000651042,0.000651042,0.000651042
31,121.739,0.95243,0.91744,0.96482,0.85149,0.78281,0.86309,0.64246,1.01428,1.48106,1.01869,0.000650492,0.000650492,0.000650492
32,124.608,0.93744,0.8976,0.96618,0.84327,0.7998,0.88387,0.65817,0.95828,1.29824,0.99708,0.000649941,0.000649941,0.000649941
33,127.523,0.92579,0.89282,0.94703,0.83266,0.84454,0.88573,0.66134,0.94812,1.22225,0.99989,0.000649391,0.000649391,0.000649391
34,130.461,0.95411,0.88492,0.96325,0.85268,0.86023,0.8875,0.68827,0.90016,1.0142,0.98811,0.000648841,0.000648841,0.000648841
35,133.414,0.88734,0.85644,0.94401,0.84243,0.84854,0.89082,0.68876,0.89761,1.08635,0.98845,0.000648291,0.000648291,0.000648291
36,136.403,0.88515,0.8515,0.9603,0.84354,0.84451,0.89313,0.6897,0.89403,1.11058,0.98036,0.00064774,0.00064774,0.00064774
37,139.379,0.86467,0.85135,0.95083,0.85798,0.84741,0.8908,0.68924,0.89266,1.08144,0.97483,0.00064719,0.00064719,0.00064719
38,142.257,0.89133,0.83183,0.95287,0.86749,0.84543,0.88914,0.68981,0.87631,1.03373,0.96733,0.00064664,0.00064664,0.00064664
39,145.145,0.85426,0.81146,0.94066,0.8696,0.85367,0.89368,0.69265,0.8977,1.01409,0.96643,0.00064609,0.00064609,0.00064609
40,148.172,0.93395,0.84486,0.94391,0.86056,0.86568,0.88771,0.69534,0.86786,0.87618,0.97089,0.000645539,0.000645539,0.000645539
41,151.136,0.87276,0.81749,0.94553,0.86746,0.85511,0.89336,0.6908,0.89252,0.89753,0.97271,0.000644989,0.000644989,0.000644989
42,154.072,0.93567,0.83849,0.94595,0.88169,0.84659,0.88754,0.69591,0.8553,0.88917,0.97344,0.000644439,0.000644439,0.000644439
43,157.062,0.87557,0.80139,0.95108,0.87276,0.86968,0.8944,0.69394,0.88374,0.94008,0.97489,0.000643888,0.000643888,0.000643888
44,159.974,0.86509,0.80186,0.9481,0.87351,0.84367,0.88723,0.68995,0.87571,0.93282,0.97107,0.000643338,0.000643338,0.000643338
45,162.905,0.86317,0.7914,0.941,0.87936,0.86669,0.89225,0.71142,0.82693,0.90822,0.95328,0.000642788,0.000642788,0.000642788
46,165.897,0.83336,0.77615,0.93202,0.87086,0.85771,0.89171,0.70138,0.87196,1.02924,0.95792,0.000642238,0.000642238,0.000642238
47,168.781,0.86404,0.80422,0.94218,0.87144,0.84046,0.88476,0.69641,0.85411,1.0309,0.95102,0.000641687,0.000641687,0.000641687
48,171.653,0.79861,0.75264,0.9175,0.86626,0.85526,0.88619,0.70944,0.8139,0.87475,0.94448,0.000641137,0.000641137,0.000641137
49,174.527,0.81229,0.78433,0.92712,0.87604,0.87324,0.89512,0.70772,0.83275,0.75466,0.94932,0.000640587,0.000640587,0.000640587
50,177.422,0.82353,0.76638,0.92508,0.8844,0.85483,0.88497,0.69903,0.83468,0.73695,0.95695,0.000640037,0.000640037,0.000640037
51,180.354,0.81717,0.76869,0.93084,0.87545,0.87726,0.89863,0.70233,0.82992,0.72569,0.95509,0.000639486,0.000639486,0.000639486
52,183.255,0.84928,0.77882,0.9343,0.87789,0.86307,0.90136,0.702,0.83433,0.75306,0.96309,0.000638936,0.000638936,0.000638936
53,186.156,0.82062,0.76016,0.92245,0.87328,0.85979,0.90086,0.71299,0.81798,0.85342,0.95472,0.000638386,0.000638386,0.000638386
54,189.126,0.82398,0.78103,0.92451,0.89204,0.89089,0.9067,0.7208,0.80921,0.75835,0.95037,0.000637835,0.000637835,0.000637835
55,192.103,0.7968,0.7499,0.93182,0.89041,0.87005,0.9082,0.73001,0.81037,0.75131,0.94647,0.000637285,0.000637285,0.000637285
56,195.102,0.80494,0.73246,0.91513,0.87799,0.88633,0.90646,0.73121,0.79854,0.71824,0.94277,0.000636735,0.000636735,0.000636735
57,198.095,0.79995,0.72885,0.92387,0.88576,0.88778,0.90603,0.72315,0.80048,0.71132,0.94686,0.000636185,0.000636185,0.000636185
58,201.031,0.79656,0.71928,0.91807,0.88245,0.88476,0.90387,0.71612,0.79803,0.71309,0.94267,0.000635634,0.000635634,0.000635634
59,203.933,0.78776,0.72315,0.91077,0.88784,0.87315,0.89409,0.70644,0.80795,0.73525,0.95477,0.000635084,0.000635084,0.000635084
60,206.834,0.78508,0.73665,0.92156,0.83904,0.86765,0.89996,0.719,0.7997,0.82447,0.94263,0.000634534,0.000634534,0.000634534
61,209.734,0.77755,0.72993,0.92385,0.87857,0.86663,0.90356,0.72462,0.7924,0.74704,0.94029,0.000633983,0.000633983,0.000633983
62,212.615,0.78812,0.72011,0.9115,0.87008,0.87798,0.89139,0.71985,0.79377,0.72035,0.94979,0.000633433,0.000633433,0.000633433
