epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.20092,1.65296,4.61589,1.4174,0.0013,0.02838,0.00467,0.00403,1.16579,4.47439,1.17219,2.668e-05,2.668e-05,2.668e-05
2,6.49105,1.51011,4.51566,1.32548,0.00381,0.07214,0.0129,0.01101,1.02789,4.35825,1.05644,5.96338e-05,5.96338e-05,5.96338e-05
3,9.88194,1.45151,4.2876,1.22246,0.00909,0.18018,0.05323,0.04278,1.04672,4.25716,1.03187,9.21474e-05,9.21474e-05,9.21474e-05
4,13.2792,1.34945,3.90211,1.10432,0.01369,0.33088,0.09251,0.06396,1.09102,4.13498,1.02323,0.000124221,0.000124221,0.000124221
5,16.6101,1.35893,3.38857,1.1106,0.01628,0.4464,0.11272,0.07437,1.09566,3.91275,1.00687,0.000155854,0.000155854,0.000155854
6,19.9848,1.33731,2.9707,1.09286,0.02671,0.53446,0.22212,0.15297,1.08215,3.63569,1.00045,0.000187047,0.000187047,0.000187047
7,23.3409,1.32292,2.50785,1.08095,0.03505,0.66276,0.30442,0.22205,1.04269,3.45688,0.99716,0.0002178,0.0002178,0.0002178
8,26.6803,1.30062,2.17102,1.07725,0.04066,0.70305,0.35268,0.24615,1.04545,3.4978,1.01891,0.000248112,0.000248112,0.000248112
9,30.0019,1.26516,1.93755,1.05028,0.0451,0.58752,0.33996,0.23974,1.06359,3.61996,1.05986,0.000277984,0.000277984,0.000277984
10,33.2453,1.24262,1.6668,1.05513,0.0411,0.57899,0.34949,0.25142,1.08071,3.66174,1.08745,0.000307416,0.000307416,0.000307416
11,36.5275,1.20784,1.53578,1.04265,0.04348,0.77594,0.51997,0.37034,1.0393,3.41085,1.0373,0.000336408,0.000336408,0.000336408
12,39.88,1.19838,1.46589,1.04393,0.87451,0.28669,0.64008,0.46318,1.03756,3.15575,1.02374,0.00036496,0.00036496,0.00036496
13,43.2147,1.19689,1.36209,1.04514,0.89679,0.15372,0.65095,0.46783,1.0346,2.9969,1.02985,0.000393071,0.000393071,0.000393071
14,46.5904,1.13367,1.28301,1.01944,0.8976,0.26766,0.75499,0.55103,1.00945,2.56498,1.00536,0.000420742,0.000420742,0.000420742
15,49.9298,1.13718,1.2289,1.02199,0.92165,0.43207,0.80975,0.59738,0.97697,2.18785,0.98376,0.000447973,0.000447973,0.000447973
16,53.2363,1.09378,1.16944,1.00492,0.89966,0.46556,0.78774,0.56748,1.03181,2.14851,1.00816,0.000474764,0.000474764,0.000474764
17,56.4506,1.07607,1.13965,1.01013,0.8478,0.50112,0.81187,0.59871,0.97693,2.03618,0.98614,0.000501114,0.000501114,0.000501114
18,59.7306,1.01561,1.07429,0.99227,0.88497,0.55946,0.82441,0.60319,0.95973,1.97696,0.99671,0.000527025,0.000527025,0.000527025
19,63.0177,1.06918,1.12085,1.00108,0.87065,0.60679,0.84279,0.61504,0.96542,1.96221,0.98602,0.000552495,0.000552495,0.000552495
20,66.3747,1.03238,1.0372,1.00724,0.87625,0.71669,0.86239,0.65411,0.9264,1.69776,0.97221,0.000577525,0.000577525,0.000577525
21,69.7201,1.04902,1.01446,0.98616,0.85448,0.75127,0.86434,0.64501,0.94339,1.55249,0.97694,0.000578956,0.000578956,0.000578956
22,73.0044,1.04706,1.02175,1.0001,0.81189,0.75686,0.86885,0.65998,0.91815,1.58867,0.97034,0.000574554,0.000574554,0.000574554
23,76.3399,1.00254,0.98725,0.98873,0.85655,0.75881,0.87497,0.67519,0.90624,1.5495,0.96459,0.000570152,0.000570152,0.000570152
24,79.6382,1.00534,0.97605,0.99281,0.87147,0.77331,0.87329,0.67898,0.92695,1.50581,0.97858,0.000565749,0.000565749,0.000565749
25,82.9407,0.96535,0.95878,0.98329,0.89043,0.81949,0.89126,0.70344,0.87118,1.33461,0.95891,0.000561347,0.000561347,0.000561347
26,86.2708,0.98877,0.95136,0.98878,0.89916,0.83048,0.89836,0.70063,0.87988,1.34787,0.96225,0.000556945,0.000556945,0.000556945
27,89.5953,0.98486,0.93994,0.9861,0.89618,0.81384,0.8878,0.70332,0.85599,1.20053,0.94942,0.000552543,0.000552543,0.000552543
28,92.848,0.95625,0.88148,0.97017,0.8953,0.82658,0.8969,0.70753,0.83371,0.99137,0.94115,0.000548141,0.000548141,0.000548141
29,96.2037,0.93277,0.90092,0.97607,0.87586,0.86276,0.90174,0.7118,0.84379,0.96428,0.94382,0.000543738,0.000543738,0.000543738
30,99.5695,0.93988,0.87613,0.96876,0.87546,0.84469,0.89392,0.71075,0.83269,0.91966,0.93696,0.000539336,0.000539336,0.000539336
31,102.817,0.90365,0.8473,0.95332,0.87727,0.82842,0.90022,0.70919,0.8318,0.94809,0.94151,0.000534934,0.000534934,0.000534934
32,106.091,0.90743,0.86358,0.95354,0.86002,0.85112,0.90235,0.71866,0.84889,1.04529,0.94526,0.000530532,0.000530532,0.000530532
33,109.357,0.87592,0.84856,0.96764,0.86871,0.82648,0.89155,0.70323,0.86337,1.09252,0.95145,0.00052613,0.00052613,0.00052613
34,112.627,0.91157,0.8497,0.96271,0.90133,0.83035,0.90464,0.70955,0.83166,0.84409,0.94196,0.000521727,0.000521727,0.000521727
35,115.862,0.90972,0.86938,0.96397,0.8848,0.85869,0.90449,0.70465,0.83472,0.83293,0.94002,0.000517325,0.000517325,0.000517325
36,119.124,0.92802,0.85574,0.96128,0.88175,0.84393,0.9002,0.69781,0.84022,0.8285,0.94323,0.000512923,0.000512923,0.000512923
37,122.413,0.90851,0.83378,0.94769,0.88464,0.86679,0.90424,0.70685,0.79348,0.7916,0.92468,0.000508521,0.000508521,0.000508521
38,125.672,0.86975,0.8408,0.94334,0.85069,0.8692,0.89151,0.70486,0.82401,0.79595,0.9394,0.000504119,0.000504119,0.000504119
39,128.905,0.87921,0.82372,0.94724,0.84958,0.87888,0.90785,0.71763,0.82643,0.85104,0.93279,0.000499716,0.000499716,0.000499716
