epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.85793,1.59801,4.61942,1.37138,0.00124,0.02764,0.00217,0.00063,1.28455,4.51187,1.24552,2.001e-05,2.001e-05,2.001e-05
2,5.70864,1.54503,4.56825,1.3605,0.00258,0.06051,0.00792,0.00383,1.19154,4.44163,1.17769,4.63818e-05,4.63818e-05,4.63818e-05
3,8.70537,1.41736,4.37649,1.24051,0.00764,0.12112,0.04199,0.03204,1.1335,4.33414,1.09038,7.24015e-05,7.24015e-05,7.24015e-05
4,11.7267,1.368,4.13875,1.16804,0.01537,0.2848,0.07466,0.05347,1.14676,4.24638,1.06746,9.8069e-05,9.8069e-05,9.8069e-05
5,14.7533,1.37375,3.84442,1.12129,0.01437,0.36046,0.08348,0.05264,1.177,4.1319,1.05242,0.000123384,0.000123384,0.000123384
6,17.7468,1.33768,3.47425,1.10103,0.01432,0.39764,0.09173,0.05741,1.19867,3.9659,1.04675,0.000148347,0.000148347,0.000148347
7,20.7311,1.32394,3.09773,1.08587,0.02613,0.49093,0.16034,0.10802,1.1587,3.73738,1.02821,0.000172958,0.000172958,0.000172958
8,23.7613,1.36842,2.75306,1.08924,0.03425,0.58452,0.25407,0.17037,1.1558,3.49858,1.03384,0.000197217,0.000197217,0.000197217
9,26.7787,1.29517,2.41694,1.07031,0.04219,0.71815,0.32072,0.22292,1.09603,3.3548,1.03262,0.000221124,0.000221124,0.000221124
10,29.7778,1.3064,2.15514,1.08717,0.04603,0.791,0.37119,0.25806,1.10099,3.35578,1.03945,0.000244678,0.000244678,0.000244678
11,32.7426,1.2554,1.93987,1.0653,0.04776,0.78965,0.40962,0.29221,1.09399,3.42603,1.04469,0.000267881,0.000267881,0.000267881
12,35.7035,1.23882,1.73632,1.06535,0.05175,0.78714,0.47504,0.32651,1.12399,3.42325,1.04723,0.000290731,0.000290731,0.000290731
13,38.6529,1.22359,1.55681,1.04941,0.0532,0.8199,0.55853,0.39396,1.06708,3.32978,1.03564,0.000313229,0.000313229,0.000313229
14,41.5988,1.15444,1.46463,1.02795,0.72188,0.41588,0.61953,0.42753,1.07146,3.28261,1.04438,0.000335374,0.000335374,0.000335374
15,44.5732,1.18555,1.40462,1.02597,0.91068,0.21258,0.65755,0.45657,1.07954,3.19253,1.04656,0.000357168,0.000357168,0.000357168
16,47.5268,1.12242,1.33911,1.01724,0.95082,0.18485,0.67107,0.48501,1.05018,3.08281,1.03308,0.000378609,0.000378609,0.000378609
17,50.443,1.10832,1.26332,1.01222,0.90802,0.13102,0.69986,0.5134,1.03651,2.95909,1.03421,0.000399698,0.000399698,0.000399698
18,53.4037,1.07566,1.20408,1.00842,0.96221,0.14949,0.72097,0.51593,1.05183,2.86782,1.03606,0.000420435,0.000420435,0.000420435
19,56.31,1.04331,1.20658,0.98991,0.95986,0.1573,0.74395,0.52905,1.02571,2.78954,1.02169,0.00044082,0.00044082,0.00044082
20,59.2761,1.09954,1.20287,0.9928,0.95325,0.1762,0.75512,0.5487,1.01066,2.70525,1.01607,0.000460853,0.000460853,0.000460853
21,62.2074,1.05364,1.13579,1.00185,0.92503,0.30775,0.78789,0.57545,1.01396,2.48774,1.01738,0.000480533,0.000480533,0.000480533
22,65.1826,1.04103,1.10786,0.99495,0.88053,0.39398,0.79812,0.58625,1.00467,2.32467,1.01547,0.000499862,0.000499862,0.000499862
23,68.15,1.0653,1.09821,0.99498,0.8731,0.49489,0.80866,0.60997,0.97096,2.10445,1.0051,0.000518838,0.000518838,0.000518838
24,71.15,0.99771,1.0261,0.98149,0.86276,0.60112,0.82211,0.6155,0.9707,1.90749,1.00636,0.000537462,0.000537462,0.000537462
